"","ModuleColors","genes"
"159","black","ACTR2"
"200","black","ADAMTS19"
"269","black","ADSS"
"344","black","AK4"
"364","black","AKR1D1"
"370","black","AKTIP"
"406","black","ALKBH8"
"460","black","ANK3"
"465","black","ANKIB1"
"473","black","ANKRD11"
"477","black","ANKRD13D"
"500","black","ANKRD50"
"601","black","APTX"
"603","black","AQP10"
"634","black","ARHGAP18"
"655","black","ARHGDIB"
"671","black","ARID2"
"686","black","ARL17A"
"690","black","ARL4D"
"698","black","ARMC1"
"706","black","ARMCX3"
"757","black","ASCC3"
"761","black","ASF1A"
"773","black","ASS1"
"776","black","ASXL3"
"800","black","ATG3"
"810","black","ATM"
"855","black","ATP6V0A2"
"889","black","AURKB"
"891","black","AUTS2"
"907","black","AZI2"
"964","black","BAZ1B"
"972","black","BBS7"
"991","black","BCL11A"
"1019","black","BDP1"
"1044","black","BICD1"
"1079","black","BMPR1B"
"1080","black","BMPR2"
"1115","black","BRD3"
"1118","black","BRD8"
"1133","black","BRWD3"
"1140","black","BTBD1"
"1225","black","C11orf80"
"1294","black","C15orf29"
"1320","black","C16orf52"
"1324","black","C17orf103"
"1357","black","C19orf40"
"1376","black","C1H1orf187"
"1377","black","C1H1orf21"
"1474","black","C2orf54"
"1478","black","C2orf68"
"1520","black","C4H6orf52"
"1525","black","C4H6orf72"
"1554","black","C6H5orf44"
"1571","black","C6orf89"
"1614","black","C8H8orf59"
"1620","black","C8orf41"
"1628","black","C9H10orf118"
"1629","black","C9H10orf12"
"1692","black","CACYBP"
"1694","black","CADM1"
"1711","black","CALU"
"1757","black","CASK"
"1806","black","CCAR1"
"1869","black","CCDC59"
"1872","black","CCDC62"
"1875","black","CCDC66"
"1933","black","CCNI"
"1997","black","CD46"
"2027","black","CDC16"
"2031","black","CDC25A"
"2037","black","CDC42"
"2038","black","CDC42BPA"
"2083","black","CDK13"
"2089","black","CDK2AP1"
"2096","black","CDK6"
"2098","black","CDK8"
"2129","black","CEBPZ"
"2134","black","CELF1"
"2148","black","CENPL"
"2152","black","CEP104"
"2159","black","CEP164"
"2160","black","CEP170"
"2164","black","CEP290"
"2165","black","CEP44"
