"","ModuleColors","genes"
"3","black","A1CF"
"31","black","ABCA9"
"102","black","ACCN5"
"109","black","ACHE"
"135","black","ACSBG2"
"188","black","ADAM21"
"189","black","ADAM21P1"
"193","black","ADAMDEC1"
"253","black","ADORA1"
"258","black","ADRA1A"
"264","black","ADRB3"
"340","black","AIPL1"
"360","black","AKNAD1"
"363","black","AKR1C4"
"377","black","ALDH1A3"
"461","black","ANKAR"
"502","black","ANKRD53"
"543","black","AP2A1"
"573","black","APLF"
"586","black","APOBEC4"
"591","black","APOF"
"606","black","AQP3"
"609","black","AQP8"
"610","black","AQP9"
"617","black","ARAP3"
"633","black","ARHGAP15"
"639","black","ARHGAP24"
"649","black","ARHGAP36"
"716","black","ARPM1"
"822","black","ATP13A5"
"944","black","BAHD1"
"1018","black","BDNF-AS"
"1041","black","BHMT"
"1097","black","BPESC1"
"1100","black","BPI"
"1105","black","BPIFB2"
"1120","black","BRE-AS1"
"1130","black","BRS3"
"1157","black","BTK"
"1164","black","BTNL9"
"1177","black","C10H20orf196"
"1232","black","C12orf59"
"1234","black","C12orf77"
"1252","black","C13orf44"
"1287","black","C15H9orf71"
"1289","black","C15H9orf84"
"1299","black","C15orf56"
"1302","black","C16H17orf105"
"1306","black","C16H17orf47"
"1309","black","C16H17orf50"
"1339","black","C18H18orf34"
"1435","black","C20orf197"
"1479","black","C2orf69"
"1501","black","C3orf43"
"1526","black","C4orf19"
"1531","black","C5"
"1562","black","C6orf141"
"1624","black","C9"
"1644","black","C9orf152"
"1650","black","C9orf57"
"1652","black","C9orf66"
"1662","black","CA8"
"1682","black","CACNA2D1"
"1706","black","CALHM3"
"1767","black","CASP5"
"1781","black","CAV3"
"1819","black","CCDC11"
"1873","black","CCDC64B"
"1874","black","CCDC65"
"1877","black","CCDC68"
"1948","black","CCR5"
"1951","black","CCR8"
"2028","black","CDC20"
"2085","black","CDK15"
"2108","black","CDKN2B-AS1"
"2195","black","CFLAR"
"2255","black","CHRNA1"
"2279","black","CHST6"
"2296","black","CILP"
"2304","black","CISD3"
"2322","black","CLCA4"
"2339","black","CLDN20"
"2345","black","CLDN8"
"2357","black","CLEC4A"
"2371","black","CLIP4"
"2390","black","CLRN3"
"2397","black","CLUL1"
"2416","black","CMYA5"
"2446","black","CNTF"
"2468","black","COG3"
"2497","black","COL5A3"
"2501","black","COL6A6"
"2572","black","CPEB2"
"2587","black","CPS1-IT1"
"2637","black","CROCCP2"
"2644","black","CRTC1"
"2675","black","CSH-2"
"2679","black","CSN2"
"2713","black","CTAGE1"
"2791","black","CXCL9"
"2794","black","CXCR5"
"2803","black","CXHXorf64"
"2844","black","CYP2C18"
"2846","black","CYP2C9"
"2862","black","CYSLTR1"
"2880","black","DACT2"
"2996","black","DEFB118"
"2998","black","DEFB121"
"3080","black","DIO1"
"3082","black","DIO3"
"3099","black","DKK4"
"3123","black","DMC1"
"3124","black","DMGDH"
"3125","black","DMP1"
"3205","black","DOCK5"
"3248","black","DRAM1"
"3340","black","EARS2"
"3343","black","EBLN2"
"3359","black","EDDM3A"
"3380","black","EFCAB3"
"3397","black","EGF"
"3413","black","EHHADH"
"3482","black","ELMO2"
"3489","black","ELOVL3"
"3534","black","ENOX2"
"3573","black","EPHA6"
"3628","black","ERN1"
"3631","black","ERP27"
"3636","black","ERVW-1"
"3651","black","ESX1"
"3654","black","ESYT3"
"3670","black","EVI2B"
"3719","black","F5"
"3751","black","FAM113B"
"3804","black","FAM178A"
"3818","black","FAM198A"
"3837","black","FAM218A"
"3840","black","FAM222A-AS1"
"3844","black","FAM24A"
"3860","black","FAM53C"
"3877","black","FAM71F1"
"3897","black","FAM9B"
"3914","black","FAS"
"4018","black","FFAR2"
"4080","black","FKBP1A"
"4109","black","FLJ33630"
"4148","black","FMO3"
"4215","black","FRK"
"4260","black","FXR1"
"4295","black","GABRB2"
"4298","black","GABRP"
"4308","black","GADL1"
"4344","black","GAPT"
"4360","black","GATA6"
"4375","black","GCET2"
"4393","black","GDA"
"4440","black","GGT6"
"4455","black","GIMAP2"
"4512","black","GLT6D1"
"4649","black","GPR157"
"4653","black","GPR171"
"4661","black","GPR180"
"4676","black","GPR52"
"4688","black","GPR82"
"4708","black","GPT"
"4714","black","GPX6"
"4743","black","GRIN2D"
"4757","black","GSDMA"
"4822","black","GUSBP5"
"4830","black","GYS2"
"4831","black","GZF1"
"4851","black","HAND1"
"4937","black","HEPACAM2"
"4963","black","HFM1"
"5029","black","HLA-DOA"
"5036","black","HLCS"
"5045","black","HMGB3P22"
"5099","black","HOXA2"
"5113","black","HOXC11"
"5143","black","HRH4"
"5180","black","HSPA5"
"5188","black","HSPBAP1"
"5198","black","HTR1F"
"5230","black","ICT1"
"5253","black","IFIT1B"
"5259","black","IFNA13"
"5261","black","IFNA2"
"5291","black","IGFBP1"
"5302","black","IGHV3OR16-13"
"5311","black","IGSF22"
"5336","black","IL15RA"
"5378","black","IL2RG"
"5387","black","IL7"
"5421","black","INHBC"
"5433","black","INPP5F"
"5462","black","IPO13"
"5549","black","ITGBL1"
"5573","black","IVNS1ABP"
"5642","black","KCNA5"
"5650","black","KCND1"
"5668","black","KCNJ1"
"5679","black","KCNJ9"
"5685","black","KCNK18"
"5746","black","KIAA0125"
"5791","black","KIAA1731"
"5851","black","KLC1"
"5910","black","KLK5"
"5916","black","KLRAQ1"
"5999","black","L2HGDH"
"6020","black","LAMB4"
"6080","black","LEFTY1"
"6086","black","LENG8"
"6107","black","LGR6"
"6108","black","LGSN"
"6114","black","LHFPL5"
"6143","black","LIN28A"
"6152","black","LINC00052"
"6175","black","LINC00320"
"6183","black","LINC00470"
"6242","black","LOC100125567"
"6264","black","LOC100130360"
"6269","black","LOC100130776"
"6276","black","LOC100131721"
"6289","black","LOC100144604"
"6300","black","LOC100272228"
"6302","black","LOC100286937"
"6328","black","LOC100289617"
"6337","black","LOC100379224"
"6339","black","LOC100505478"
"6350","black","LOC145820"
"6351","black","LOC145845"
"6356","black","LOC148824"
"6364","black","LOC151658"
"6381","black","LOC255167"
"6389","black","LOC283665"
"6393","black","LOC283856"
"6408","black","LOC285419"
"6421","black","LOC338651"
"6427","black","LOC340094"
"6445","black","LOC400756"
"6448","black","LOC400891"
"6450","black","LOC401463"
"6456","black","LOC441204"
"6485","black","LOC647323"
"6513","black","LOC693480"
"6526","black","LOC693561"
"6578","black","LOC693971"
"6587","black","LOC694038"
"6615","black","LOC694313"
"6622","black","LOC694403"
"6636","black","LOC694533"
"6657","black","LOC694753"
"6679","black","LOC694919"
"6708","black","LOC695158"
"6717","black","LOC695212"
"6724","black","LOC695290"
"6797","black","LOC695817"
"6799","black","LOC695833"
"6819","black","LOC695956"
"6858","black","LOC696190"
"6871","black","LOC696304"
"6873","black","LOC696306"
"6904","black","LOC696548"
"6926","black","LOC696684"
"6975","black","LOC696984"
"6993","black","LOC697113"
"7035","black","LOC697414"
"7052","black","LOC697532"
"7191","black","LOC698499"
"7253","black","LOC699043"
"7275","black","LOC699219"
"7292","black","LOC699331"
"7297","black","LOC699370"
"7315","black","LOC699430"
"7372","black","LOC699889"
"7389","black","LOC699986"
"7417","black","LOC700277"
"7423","black","LOC700324"
"7457","black","LOC700587"
"7489","black","LOC700836"
"7513","black","LOC701067"
"7556","black","LOC701506"
"7573","black","LOC701630"
"7585","black","LOC701718"
